,Num,District,State,Population,Growth Rate,Sex-Ratio,Literacy,Population2021_estimated
261,262,akola,maharashtra,1813906,1.1127,946,88.05,5277104.056
262,263,faridabad,haryana,1809733,1.3254,873,81.7,30275001.15
263,264,mandya,karnataka,1805769,1.0238,995,70.4,2284617.217
264,265,kendujhar,odisha,1801733,1.1535,988,68.24,7513917.487
265,266,banda,uttar pradesh,1799410,1.1705,863,66.67,8686489.72
266,267,banswara,rajasthan,1797485,1.2653,980,56.33,18906030.55
267,268,ramabai nagar,uttar pradesh,1796184,1.1489,865,75.78,7197358.209
268,269,hassan,karnataka,1776421,1.0318,1010,76.07,2429411.785
269,270,hanumangarh,rajasthan,1774692,1.1691,906,67.13,8465246.263
270,271,etah,uttar pradesh,1774480,1.1362,873,70.81,6362370.536
271,272,chhattarpur,madhya pradesh,1762375,1.1951,883,63.74,10474680.56
272,273,jamui,bihar,1760405,1.2585,922,59.79,17544653.37
273,274,surendranagar,gujarat,1756268,1.1591,930,72.13,7687760.527
274,275,shimoga,karnataka,1752753,1.0671,998,80.45,3355613.386
275,276,thoothukkudi,tamil nadu,1750176,1.1132,1023,86.16,5114623.865
276,277,hisar,haryana,1743931,1.1345,872,72.89,6159909.05
277,278,cachar,assam,1736617,1.2019,959,79.34,10924143.59
278,279,hazaribagh,jharkhand,1734495,1.2065,947,69.75,11335647.04
279,280,namakkal,tamil nadu,1726601,1.1561,986,74.63,7364546.353
280,281,shivpuri,madhya pradesh,1726050,1.2276,877,62.55,13415972.82
281,282,west tripura,tripura,1725739,1.1257,962,88.69,5638995.847
282,283,sant kabir nagar,uttar pradesh,1715183,1.2077,972,66.72,11321425.85
283,284,east delhi,delhi,1709346,1.1679,884,89.31,8070242.119
284,285,buxar,bihar,1706352,1.2167,922,70.14,12131198.42
285,286,valsad,gujarat,1705678,1.2092,922,78.55,11399306.55
286,287,bidar,karnataka,1703300,1.1337,956,70.51,5974101.717
287,288,bhind,madhya pradesh,1703005,1.1921,837,75.26,9870582.956
288,289,balaghat,madhya pradesh,1701698,1.136,1021,77.09,6090680.275
289,290,puri,odisha,1698730,1.1305,963,84.67,5792019.608
290,291,dehradun,uttarakhand,1696694,1.3233,902,84.25,27937442.65
291,292,barpeta,assam,1693622,1.2143,953,63.81,11805283.93
292,293,kishanganj,bihar,1690400,1.304,950,55.46,24030643.35
293,294,jalaun,uttar pradesh,1689974,1.1619,865,73.75,7578225.78
294,295,dakshin dinajpur,west bengal,1676276,1.1152,956,72.82,4987387.754
295,296,khagaria,bihar,1666886,1.3019,886,57.92,23317509.86
296,297,chitradurga,karnataka,1659456,1.0933,974,73.71,4049106.714
297,298,osmanabad,maharashtra,1657576,1.115,924,78.44,4922912.581
298,299,kannauj,uttar pradesh,1656616,1.1927,879,72.7,9650149.558
299,300,sangrur,punjab,1655169,1.1235,885,67.99,5303628.69
300,301,balangir,odisha,1648997,1.2332,987,64.72,13413898.82
301,302,udham singh nagar,uttarakhand,1648902,1.3345,920,73.1,29537968.7
302,303,nandurbar,maharashtra,1648295,1.2566,978,64.38,16181005.11
303,304,gautam buddha nagar,uttar pradesh,1648115,1.3711,851,80.12,38697135.7
304,305,bhiwani,haryana,1634445,1.147,886,75.21,6441759.252
305,306,dausa,rajasthan,1634409,1.2409,905,68.16,14149092.66
306,307,kaimur,bihar,1626384,1.2617,920,69.34,16625860.18
307,308,janjgir champa,chhattisgarh,1619707,1.2294,986,73.07,12775224.68
308,309,pudukkottai,tamil nadu,1618345,1.1088,1015,77.19,4545726.299
309,310,nagapattinam,tamil nadu,1616450,1.0857,1025,83.59,3678414.398
310,311,ratnagiri,maharashtra,1615069,0.9518,1122,82.18,985480.6151
311,312,kaushambi,uttar pradesh,1599596,1.237,908,61.28,13418603.05
312,313,haveri,karnataka,1597668,1.1102,950,77.4,4544632.466
313,314,hoshiarpur,punjab,1586625,1.0711,961,84.59,3153366.766
314,315,etawah,uttar pradesh,1581810,1.1815,870,78.41,8384778.154
315,316,sant ravidas nagar,uttar pradesh,1578213,1.1658,955,68.97,7318231.209
316,317,kalahandi,odisha,1576869,1.1807,1003,59.22,8302162.846
317,318,betul,madhya pradesh,1575362,1.1292,971,68.9,5309933.232
318,319,mahamaya nagar,uttar pradesh,1564708,1.1712,871,71.59,7598781.21
319,320,dewas,madhya pradesh,1563715,1.1953,942,69.35,9309509.452
320,321,bharuch,gujarat,1551019,1.1316,925,81.51,5340064.538
321,322,rajgarh,madhya pradesh,1545814,1.2326,956,61.21,12513502.08
322,323,chittaurgarh,rajasthan,1544338,1.1608,972,61.71,6859877.37
323,324,rajnandgaon,chhattisgarh,1537133,1.1979,1015,75.96,9352271.272
324,325,kolar,karnataka,1536401,1.1077,979,74.39,4272933.543
325,326,jammu,jammu & kashmir,1529958,1.1274,880,83.45,5075277.741
326,327,kamrup,assam,1517542,1.1569,949,75.55,6517768.49
327,328,gurgaon,haryana,1514432,1.7396,854,84.7,384364941.0
